ACT	Morningroom
of	of
the	the
sexes	sexes
Where	Where
questions	questions
of	of
selfsacriﬁce	selfsacrifice
areconcerned	are
null	concerned
men	men
are	are
inﬁnitely	infinitely
beyond	beyond
us	us
‘	Jack
‘	null
JACK	null
We	We
are	are
I	Clasps
Claxps	null
hands	hands
with	with
ALGERNON	Algernon
CECILY	Cecily
They	They
have	have
moments	moments
of	of
physical	physical
courage	courage
of	of
which	which
we	we
women	women
know	know
absolutely	absolutely
nothing	nothing
GWENDOLEN	Gwendolen
To	To
JACK	Jack
Darling	Darling
ALGERNON	Algernon
To	To
CECILY	Cecily
Darling	Darling
They	They
fall	fall
into	into
each	each
other’s	others
arms	arms
Enter	Enter
MERRIMAN	Merriman
When	When
he	he
enters	enters
he	he
coughs	coughs
loudly	loudly
seeing	seeing
the	the
situation	situation
I	Merriman
MERRIMAN	null
Ahem	Ahem
Ahem	Ahem
Lady	Lady
Bracknell	Bracknell
JACK	Jack
Good	Good
heavens	heavens
Enter	Enter
LADY	Lady
BRACKNELL	Bracknell
The	The
couples	couples
separate	separate
in	in
alarm	alarm
Exit	Exit
MERRIMAN	Merriman
LADY	Lady
BRACKNELL	Bracknell
‘	null
Gwendolen	Gwendolen
What	What
does	does
this	this
mean	mean
102	Gwendolen
THE	null
IMPORTANCE	null
OF	null
BEING	null
EARNEST	null
GWENDOLEN	null
Merely	Merely
that	that
I	I
am	am
engaged	engaged
to	to
be	be
married	married
to	to
Mr	Mr
Worthing‘	Worthing
mamma	mamma
LADY	Lady
BRACKNELL	Bracknell
Come	Come
here	here
Sit	Sit
down	down
Sit	Sit
down	down
immediately	immediately
Hesitation	Hesitation
of	of
any	any
kind	kind
is	is
a	a
sign	sign
of	of
mental	mental
decay	decay
in	in
the	the
young	young
of	of
physical	physical
weakness	weakness
in	in
the	the
old	old
Turns	Turns
to	to
JACK	Jack
Apprised	Apprised
sir	sir
of	of
my	my
daughter’s	daughters
sudden	sudden
ﬂight	flight
by	by
her	her
trusty	trusty
maid	maid
whose	whose
conﬁdence	confidence
I	I
purchased	purchased
by	by
means	means
of	of
a	a
small	small
coin	coin
I	I
followed	followed
her	her
at	at
once	once
by	by
a	a
luggage	luggage
train	train
Her	Her
unhappy	unhappy
father	father
is	is
I	I
am	am
glad	glad
to	to
say	say
under	under
the	the
impression	impression
that	that
she	she
is	is
attending	attending
a	a
more	more
than	than
usually	usually
lengthy	lengthy
lecture	lecture
by	by
the	the
University	University
Extension	Extension
Scheme	Scheme
on	on
the	the
Inﬂuence	Influence
of	of
a	a
permanent	permanent
income	income
on	on
Thought	Thought
I	I
do	do
not	not
propose	propose
to	to
undeceive	undeceive
him	him
Indeed	Indeed
I	I
have	have
never	never
undeceived	undeceived
him	him
on	on
any	any
question	question
I	I
would	would
consider	consider
it	it
wrong	wrong
But	But
of	of
course	course
you	you
will	will
clearly	clearly
understand	understand
that	that
all	all
communication	communication
between	between
yourself	yourself
and	and
my	my
daughter	daughter
must	must
cease	cease
immediately	immediately
from	from
this	this
moment	moment
On	On
this	this
point	point
as	as
indeed	indeed
on	on
all	all
points	points
I	I
am	am
ﬁrm	firm
JACK	Jack
I	I
am	am
engaged	engaged
to	to
be	be
married	married
to	to
Gwendolen	Gwendolen
Lady	Lady
Bracknell	Bracknell
LADY	Lady
BRACKNELL	Bracknell
You	You
are	are
nothing	nothing
of	of
the	the
kind	kind
sir	sir
And	And
now	now
as	as
regards	regards
Algernon	Algernon
Algernon	Algernon
ALGERNON	Algernon
Yes	Yes
Aunt	Aunt
Augusta	Augusta
THE	Lady
mPoRirAvCE	Bracknell
0F	May
BELVG	I
EARVEST	null
m3	null
LADY	null
BRACKNELL	null
MayI	null
ask	ask
if	if
it	it
is	is
in	in
this	this
house	house
that	that
ydur	your
invalid	invalid
friend	friend
Mr	Mr
Bunbury	Bunbury
resides	resides
ALGERNON	Algernon
Sidmmering	Stammering
Oh	Oh
No	No
Bunbury	Bunbury
doesn’t	doesnt
live	live
iere	here
Bunbury	Bunbury
is	is
somewhere	somewhere
else	else
at	at
present	present
In	In
fact	fact
Bunbury	Bunbury
is	is
dead	dead
LADY	Lady
BRACKNELL	Bracknell
Dead	Dead
When	When
did	did
Mr	Mr
Bunbury	Bunbury
die	die
His	His
death	death
must	must
have	have
been	been
extremely	extremely
sudden	sudden
ALGERNON	Algernon
r	null
Airily	Airily
Oh	Oh
I	I
killed	killed
Bunbury	Bunbury
this	this
afternoon	afternoon
I	I
mean	mean
poorBunbury	poor
null	Bunbury
died	died
this	this
afternoon	afternoon
LADY	Lady
BRACKNELL	Bracknell
What	What
did	did
he	he
die	die
of	of
ALGERNON	Algernon
Bunbury	Bunbury
Oh	Oh
he	he
was	was
quite	quite
exploded	exploded
LADY	Lady
BRACKNELL	Bracknell
Exploded	Exploded
Was	Was
he	he
the	the
victim	victim
of	of
a	a
revolutionary	revolutionary
outrage	outrage
I	I
was	was
not	not
aware	aware
that	that
Mr	Mr
Bunbury	Bunbury
was	was
interested	interested
in	in
social	social
legislation	legislation
If	If
so	so
he	he
is	is
well	well
punished	punished
for	for
his	his
morbidity	morbidity
ALGERNON	Algernon
I	null
My	My
dear	dear
Aunt	Aunt
Augusta	Augusta
I	I
mean	mean
he	he
was	was
found	found
out	out
The	The
doctors	doctors
found	found
out	out
that	that
Bunbury	Bunbury
could	could
not	not
live	live
that	that
is	is
what	what
I	I
mean—so	meanso
Bunbury	Bunbury
died	died
104	Lady
THE	Bracknell
IMPORTANCE	null
0BEIJVG	null
EARNEST	null
LADY	null
BRACKNELL	null
He	He
seems	seems
to	to
have	have
hadgreat	had
conﬁdence	great
null	confidence
in	in
the	the
opinion	opinion
of	of
his	his
physicians	physicians
I	I
am	am
glad	glad
hOWever	however
that	that
he	he
made	made
up	up
his	his
mind	mind
at	at
the	the
last	last
to	to
some	some
deﬁnite	definite
course	course
of	of
action	action
and	and
acted	acted
under	under
proper	proper
medical	medical
advice	advice
And	And
now	now
that	that
we	we
have	have
ﬁnally	finally
got	got
rid	rid
of	of
this	this
Mri	Mr
Bunbury	Bunbury
may	may
I	I
ask	ask
Mr	Mr
VWOrthing	Worthing
who	who
is	is
that	that
young	young
person	person
whose	whose
hand	hand
my	my
nephew	nephew
Alger	Algernon
non	null
is	is
now	now
holding	holding
in	in
what	what
seems	seems
to	to
me	me
a	a
peculiarly	peculiarly
unnecessary	unnecessary
manner	manner
JACK	Jack
That	That
lady	lady
is	is
Miss	Miss
Cecily	Cecily
Cardew	Cardew
my	my
ward	ward
LADY	Lady
BRACKNE‘LL	Bracknell
bows	bows
coldly	coldly
to	to
CECILY	Cecily
ALGERNON	Algernon
I	I
am	am
engaged	engaged
to	to
be	be
married	married
to	to
Cecily	Cecily
Aunt	Aunt
Augusta	Augusta
LADY	Lady
BRACKNELL	Bracknell
I	I
beg	beg
your	your
pardon	pardon
CECILY	Cecily
Mr	Mr
Moncrieﬁ‘	Moncrieff
and	and
I	I
are	are
engaged	engaged
to	to
be	be
married	married
Lady	Lady
Bracknell	Bracknell
LADY	Lady
BRACKNELL	Bracknell
With	With
a	a
shiver	shiver
crossing	crossing
tothe	to
null	the
sofa	sofa
and	and
sitting	sitting
down	down
I	I
do	do
not	not
know	know
whether	whether
there	there
is	is
anything	anything
peculiarly	peculiarly
exciting	exciting
in	in
the	the
air	air
of	of
this	this
particular	particular
part	part
of	of
Hertfordshire	Hertfordshire
but	but
the	the
number	number
of	of
engagements	engagements
that	that
go	go
on	on
seems	seems
to	to
me	me
considerably	considerably
above	above
the	the
proper	proper
average	average
that	that
statistics	statistics
have	have
laid	laid
down	down
for	for
our	our
guidance	guidance
I	I
think	think
some	some
preliminary	preliminary
inquiry	inquiry
on	on
my	my
part	part
would	would
not	not
be	be
out	out
of	of
place	place
Mr	Mr
Worthing	Worthing
is	is
THE	null
IMPORTANCE	null
OF	null
BEING	null
EARNEST	null
05	null
Miss	Miss
Cardew	Cardew
at	at
all	all
connected	connected
With	with
any	any
of	of
the	the
larger	larger
railway	railway
stations	stations
in	in
London	London
I	I
merely	merely
desire	desire
in	information
formation	null
Until	Until
yesterday	yesterday
I	I
had	had
no	no
idea	idea
that	that
there	there
were	were
any	any
families	families
or	or
persons	persons
whose	whose
origin	origin
was	was
a	a
Terminus	Terminus
I	Jack
JACK	null
looks	looks
perfectly	perfectly
furious	furious
but	but
restrains	restrains
himself	himself
‘	Jack
JACK	null
In	In
a	a
clear	clear
cold	cold
mica	voice
Miss	Miss
Cardew	Cardew
is	is
the	the
granddaughter	granddaughter
of	of
the	the
late	late
Mr	Mr
Thomas	Thomas
Cardew	Cardew
of	of
I49	149
Belgrave	Belgrave
Square	Square
S	SW
W	null
Gervase	Gervase
Park	Park
Dorking	Dorking
Surrey	Surrey
and	and
the	the
Sporran	Sporran
Fifeshire	Fifeshire
N	NB
B	Lady
LADY	Bracknell
BRACKNELL	null
That	That
sounds	sounds
not	not
unsatisfactory	unsatisfactory
Three	Three
addresses	addresses
I	null
always	always
inspire	inspire
conﬁdence	confidence
even	even
in	in
tradesmen	tradesmen
But	But
’	null
what	what
proof	proof
have	have
I	I
of	of
their	their
authenticity	authenticity
JACK	Jack
I	I
have	have
carefully	carefully
preserved	preserved
the	the
Court	Court
Guides	Guides
of	of
the	the
period	period
They	They
are	are
open	open
to	to
your	your
inspection	inspection
Lady	Lady
Bracknell	Bracknell
LADY	Lady
BRACKNELL	Bracknell
Grimly	Grimly
I	I
have	have
known	known
strange	strange
errors	errors
in	in
that	that
publication	publication
JACK	Jack
‘	Miss
’iMiss	Cardews
Cardew’s	null
family	family
solicitors	solicitors
are	are
Messrs	Messrs
‘Markby	Markby
Markby	Markby
and	and
Markby	Markby
LADY	Lady
BRACKNELL	Bracknell
’Markby	Markby
Markby	Markby
and	and
Markby	Markby
A	A
ﬁrm	firm
of	of
the	the
veryhighest	very
null	highest
position	position
in	in
their	their
profession	profession
Indeed	Indeed
I	I
106	null
THE	null
IMPORTANCE	null
OF	null
BEING	null
EARNﬁoST	null
am	am
told	told
that	that
one	one
of	of
the	the
Mr	Mr
Markbys	Markbys
is	is
occasionally	occasionally
to	to
be	be
seen	seen
at	at
dinner	dinner
parties	parties
So	So
far	far
I	I
am	am
satisﬁed	satisfied
JACK	Jack
Very	Very
irritably	irritably
How	How
extremely	extremely
kind	kind
of	of
you	you
Lady	Lady
Bracknell	Bracknell
I	I
have	have
also	also
in	in
my	my
possession	possession
you	you
will	will
be	be
pleased	pleased
to	to
hear	hear
certiﬁcates	certificates
of	of
Miss	Miss
Cardew’s	Cardews
birth	birth
baptism	baptism
whooping	whooping
cough	cough
registration	registration
vaccination	vaccination
conﬁrmation	confirmation
and	and
the	the
measles	measles
both	both
the	the
German	German
and	and
the	the
English	English
variety	variety
LADY	Lady
BRACKNELL	Bracknell
Ah	Ah
A	A
life	life
crowded	crowded
with	with
incident	incident
I	I
see	see
though	though
perhaps	perhaps
somewhat	somewhat
too	too
exciting	exciting
for	for
a	a
young	young
girl	girl
I	I
am	am
not	not
myself	myself
in	in
favor	favour
of	of
premature	premature
experiences	experiences
Risesy	Rises
looks	looks
at	at
her	her
watch	watch
Gwendolen	Gwendolen
the	the
timeapproaches	time
null	approaches
for	for
our	our
departure	departure
We	We
have	have
not	not
a	a
mo‘	moment
ment	null
to	to
lose	lose
As	As
a	a
matter	matter
of	of
form	form
Mr	Mr
Worthing	Worthing
I	I
had	had
better	better
ask	ask
you	you
if	if
Miss	Miss
Cardew	Cardew
has	has
any	any
little	little
fortune	fortune
3	Jack
JACK	null
Oh	Oh
about	about
a	a
hundred	hundred
and	and
thirty	thirty
thousand	thousand
pounds	pounds
in	in
the	the
Funds	Funds
That	That
is	is
all	all
Goodbye	Goodbye
Lady	Lady
Bracknell	Bracknell
So	So
pleased	pleased
to	to
have	have
seen	seen
you	you
LADY	Lady
BRACKNELL	Bracknell
Sitting	Sitting
down	down
again	again
A	A
moment	moment
Mr	Mr
Worthing‘	Worthing
A	A
hundred	hundred
and	and
thirty	thirty
thousand	thousand
pounds	pounds
And	And
in	in
the	the
Funds	Funds
Miss	Miss
Cardew	Cardew
seems	seems
to	to
me	me
a	a
most	most
attractive	attractive
young	young
lady	lady
now	now
that	that
I	I
look	look
at	at
her	her
Few	Few
girls	girls
of	of
the	the
present	present
day	day
have	have
any	any
really	really
solid	solid
qualities	qualities
any	any
of	of
the	the
qualities	qualities
that	that
last	last
and	and
improve	improve
with	with
time	time
Welive	We
null	live
I	I
regret	regret
to	to
say	say
in	in
an	an
agent	age
null	of
surfaces	surfaces
To	To
CECILY	Cecily
Come	Come
over	over
here	here
edear	dear
THE	Cecily
YMPORTANCE	null
0F	null
BEINGEAR1VEST	null
107	null
CECILY	null
goes	goes
across	across
Pretty	Pretty
child	child
your	your
dress	dress
is	is
sadly	sadly
simple	simple
and	and
your	your
hair	hair
seems	seems
almost	almost
as	as
Nature	Nature
might	might
have	have
left	left
it	it
But	But
we	we
can	can
soon	soon
alter	alter
all	all
that	that
A	A
thoroughly	thoroughly
experienced	experienced
French	French
maid	maid
produces	produces
a	a
really	really
marvelous	marvellous
result	result
in	in
a	a
very	very
brief	brief
space	space
’of	of
time	time
I	I
remember	remember
recommending	recommending
one	one
to	to
young	young
Lady	Lady
Lancing	Lancing
and	and
after	after
three	three
months	months
her	her
own	own
husband	husband
did	did
not	not
knowher	know
JACK	her
Aside	Jack
And	And
after	after
six	six
months	months
nobody	nobody
knew	knew
her	her
LADY	Lady
BRACKNELL	Bracknell
Glares	Glares
at	at
JACK	Jack
for	for
a	a
few	few
moments	moments
Then	Then
bends	bends
with	with
a	a
practiced	practised
smile	smile
to	to
CECILY	Cecily
Kindly	Kindly
turn	turn
round	round
sweet	sweet
child	child
CECILY	Cecily
tm’m	turns
completely	completely
round	round
No	No
the	the
side	side
View	view
is	is
what	what
I	I
want	want
CECILY	Cecily
presents	presents
her	her
proﬁle	profile
Yes	Yes
quite	quite
as	as
I	I
ex—	expected
pected	null
There	There
are	are
distinct	distinct
social	social
possibilities	possibilities
in	in
your	your
proﬁle	profile
The	The
two	two
weak	weak
points	points
in	in
our	our
age	age
are	are
its	its
want	want
of	of
principle	principle
and	and
its	its
want	want
of	of
proﬁle	profile
The	The
chin	chin
a‘	a
little	little
higher	higher
dear	dear
Style	Style
largely	largely
depends	depends
on	on
the	the
way	way
the	the
chin	chin
is	is
worn	worn
They	They
are	are
worn	worn
very	very
high	high
just	just
at	at
present	present
Algernon	Algernon
ALGERNON	Algernon
‘	null
Yes	Yes
Aunt	Aunt
Augusta	Augusta
LADY	Lady
BRACKNELL	Bracknell
There	There
are	are
distinct	distinct
social	social
possibilities	possibilities
in	in
Miss	Miss
Car	Cardews
dew’s	profile
proﬁle	Algernon
‘	null
ALGERNON	null
Cecily	Cecily
is	is
the	the
sweetest	sweetest
dearest	dearest
prettiest	prettiest
girl	girl
in	in
the	the
‘Lwhole	whole
world	world
And	And
I	I
don’t	dont
care	care
twopence	twopence
about	about
social	social
possibilities	possibilities
108	Lady
THE	Bracknell
IMPORTANCE	null
OF	null
BEING	null
EARNEST	null
LADY	null
BRACKNELL	null
f	null
Never	Never
speak	speak
disrespectfully	disrespectfully
of	of
Society	Society
Algernon	Algernon
Only	Only
people	people
who	who
can’t	cant
get	get
into	into
it	it
do	do
that	that
ToCECILY	To
null	Cecily
Dear	Dear
child	child
of	of
course	course
you	you
know	know
that	that
Algernon	Algernon
has	has
nothing	nothing
but	but
his	his
debts	debts
to	to
depend	depend
upon	upon
But	But
I	I
do	do
not	not
approve	approve
of	of
mercenary	mercenary
marriages	marriages
When	When
I	I
marriedLord	married
null	Lord
Bracknell	Bracknell
I	I
had	had
no	no
fortune	fortune
of	of
any	any
kind	kind
But	But
I	I
never	never
dreamed	dreamed
for	for
a	a
moment	moment
of	of
allowing	allowing
that	that
to	to
stand	stand
in	in
my	my
way	way
Well	Well
I	I
suppose	suppose
I	I
must	must
give	give
my	my
consent	consent
L	Algernon
ALGERNON	null
Thank	Thank
you	you
Aunt	Aunt
Augusta	Augusta
LADY	Lady
BRACKNELL	Bracknell
Cecily	Cecily
you	you
may	may
kiss	kiss
me	me
CECILY	Cecily
Kisses	Kisses
hen	her
Thank	Thank
you	you
Lady	Lady
Bracknell	Bracknell
LADY	Lady
BRACKNELL	Bracknell
You	You
may	may
also	also
address	address
me	me
as	as
Aunt	Aunt
Augusta	Augusta
for	for
the	the
future	future
CECILY	Cecily
Thank	Thank
you	you
Aunt	Aunt
Augusta	Augusta
LADY	Lady
BRACKNELL	Bracknell
The	The
marriage	marriage
I	I
think	think
had	had
better	better
take	take
place	place
quite	quite
soon	soon
I	Algernon
ALGERNON	null
Thank	Thank
you	you
Aunt	Aunt
Augusta	Augusta
CECILY	Cecily
Thank	Thank
you	you
Aunt	Aunt
Augusta	Augusta
IHPORTANCE	Lady
OF	Bracknell
BEING	To
EARVEST	speak
mg	null
‘	null
LADY	null
BRACKNELL	null
‘To	null
Speak	null
frankly	frankly
I	I
am	am
not	not
in	in
favor	favour
of	of
long	long
engagements	engagements
They	They
give	give
people	people
the	the
opportunity	opportunity
of	of
ﬁnding	finding
out	out
each	each
other’s	others
character	character
before	before
marriage	marriage
which	which
I‘	I
think	think
is	is
never	never
advisable	advisable
JACK	Jack
I	I
beg	beg
your	your
pardon	pardon
for	for
interrupting	interrupting
you	you
Lady	Lady
Bracknell	Bracknell
but	but
this	this
engagement	engagement
is	is
quite	quite
out	out
of	of
the	the
question	question
I	I
am	am
Miss	Miss
Cardew’s	Cardews
guardian	guardian
and	and
she	she
cannot	cannot
marry	marry
without	without
my	my
consent	consent
until	until
she	she
comes	comes
of	of
age	age
That	That
consent	consent
I	I
absolutely	absolutely
decline	decline
to	to
give	give
LADY	Lady
BRACKNELL	Bracknell
Upon	Upon
what	what
grounds	grounds
may	may
I	I
ask	ask
Algernon	Algernon
is	is
an	an
extremely	extremely
I	I
may	may
almost	almost
say	say
an	an
ostentatiously	ostentatiously
eligible	eligible
young	young
man	man
He	He
has	has
nothing	nothing
but	but
he	he
looks	looks
everything	everything
What	What
more	more
can	can
one	one
desire	desire
JACK	Jack
It	It
pains	pains
me	me
very	very
much	much
to	to
have	have
to	to
speak	speak
frankly	frankly
to	to
you	you
Lady	Lady
Bracknell	Bracknell
about	about
your	your
nephew	nephew
but	but
the	the
fact	fact
is	is
that	that
I	I
do	do
not	not
approve	approve
at	at
all	all
of	of
his	his
moral	moral
character	character
I	I
suspect	suspect
him	him
of	of
being	being
untruthful	untruthful
ALGERNON	Algernon
and	and
CECILY	Cecily
look	look
at	at
him	him
in	in
mdignant	indignant
amazement	amazement
LADY	Lady
BRACKNELL	Bracknell
‘	null
Untruthful	Untruthful
My	My
nephew	nephew
Algernon	Algernon
Impos‘	Impossible
sible	null
He	He
is	is
an	an
Oxonian	Oxonian
L	Jack
I	I
JACK	null
I	null
fear	fear
there	there
can	can
be	be
no	no
possible	possible
doubt	doubt
about	about
the	the
matter	matter
This	This
afternoon	afternoon
during	during
my	my
temporary	temporary
ab‘	absence
no	null
THE	null
IMPORTANCE	null
OF	null
BEING	null
EARNESI	null
sence	null
in	in
London	London
on	on
an	an
important	important
question	question
of	of
re	romance
mance	null
he	he
obtained	obtained
admission	admission
to	to
my	my
house	house
by	by
means	means
of	of
the	the
false	false
pretence	pretence
of	of
being	being
my	my
brother	brother
Under	Under
an	an
assumed	assumed
name	name
he	he
drank	drank
I’ve	Ive
just	just
been	been
informed	informed
by	by
my	my
butler	butler
an	an
entire	entire
pint	pint
bottle	bottle
of	of
my	my
Perrier—	PerrierJouet
Jouet	null
Brut	Brut
’89	89
a	null
wine	wine
I	I
was	was
specially	specially
reserving	reserving
for	for
myself	myself
Continuing	Continuing
his	his
disgraceful	disgraceful
deception	deception
he	he
succeeded	succeeded
in	in
the	the
course	course
of	of
the	the
afternoon	afternoon
in	in
alienating	alienating
the	the
affections	affections
of	of
my	my
only	only
ward	ward
He	He
subse»	subsequently
quently	null
stayed	stayed
to	to
tea	tea
and	and
devoured	devoured
every	every
single	single
mufﬁn	muffin
And	And
what	what
makes	makes
his	his
conduct	conduct
all	all
the	the
more	more
heartless	heartless
is	is
that	that
he	he
was	was
perfectly	perfectly
well	well
aware	aware
from	from
the	the
ﬁrst	first
that	that
I	I
have	have
no	no
brother	brother
that	that
I	I
never	never
had	had
a	a
brother	brother
and	and
that	that
I	I
don’t	dont
intend	intend
to	to
have	have
a	a
brother	brother
not	not
even	even
of	of
any	any
kind	kind
I	I
distinctly	distinctly
told	told
him	him
so	so
my—	myself
self	null
yesterday	yesterday
afternoon	afternoon
I	Lady
LADY	Bracknell
BRACKNELL	null
Ahem	Ahem
Mr	Mr
Worthing	Worthing
after	after
careful	careful
consideration	consideration
I	I
have	have
decided	decided
entirely	entirely
to	to
overlook	overlook
my	my
nephew’s	nephews
conduct	conduct
to	to
you	you
JACK	Jack
That	That
is	is
very	very
generous	generous
of	of
you	you
Lady	Lady
Bracknell	Bracknell
My	My
own	own
decision	decision
however	however
is	is
unalterable	unalterable
I	I
decline	decline
to	to
give	give
my	my
consent	consent
LADY	Lady
BRACKNELL	Bracknell
To	To
CECILY	Cecily
Come	Come
here	here
sweet	sweet
child	child
CECILY	Cecily
goes	goes
oven	over
How	How
old	old
are	are
you	you
dear	dear
CECILY	Cecily
Well	Well
I	I
am	am
really	really
onlyeighteen	only
null	eighteen
but	but
I	I
always	always
admit	admit
to	to
twenty	twenty
when	when
I	I
go	go
to	to
evening	evening
parties	parties
THE	Lady
IMPORTANCE	Bracknell
OF	null
BEING	null
EARNEST	null
III	null
LADY	null
BRACKNELL	null
You	You
are	are
perfectly	perfectly
right	right
in	in
making	making
some	some
slight	slight
alteration	alteration
Indeed	Indeed
no	no
woman	woman
should	should
ever	ever
be	be
quite	quite
accurate	accurate
about	about
her	her
age	age
It	It
looks	looks
so	so
calculating	calculating
In	In
a	a
meditative	meditative
manner	manner
Eighteen	Eighteen
but	but
admitting	admitting
to	to
twenty	twenty
at	at
evening	evening
parties	parties
Well	Well
it	it
will	will
notbe	not
null	be
very	very
long	long
before	before
you	you
are	are
of	of
age	age
and	and
free	free
from	from
the	the
restraints	restraints
of	of
tutelage	tutelage
So	So
I	I
don’t	dont
think	think
your	your
guardian’s	guardians
consent	consent
is	is
after	after
all	all
a	a
matter	matter
of	of
any	any
im—	importance
I	Jack
portance	null
r	null
JACK	null
Pray	Pray
excuse	excuse
me	me
Lady	Lady
Bracknell	Bracknell
for	for
interrupting	interrupting
you	you
again	again
but	but
it	it
is	is
only	only
fair	fair
to	to
tell	tell
you	you
that	that
according	according
tothe	to
null	the
terms	terms
of	of
her	her
grandfather’s	grandfathers
will	will
Miss	Miss
Cardew	Cardew
does	does
not	not
come	come
legally	legally
of	of
age	age
till	till
she	she
is	is
thirtyﬁve	thirtyfive
LADY	Lady
BRACKNELL	Bracknell
That	That
does	does
not	not
seem	seem
to	to
me	me
to	to
be	be
a	a
grave	grave
objection	objection
Thirtyﬁve	Thirty
null	five
is	is
a	a
very	very
attractiVe	attractive
age	age
London	London
society	society
is	is
full	full
of	of
women	women
of	of
the	the
very	very
highest	highest
birth	birth
who	who
have	have
of	of
their	their
own	own
free	free
choice	choice
remained	remained
thirty—ﬁve	thirty
for	five
‘	for
years	years
Lady	Lady
Dumbleton	Dumbleton
is	is
an	an
instance	instance
in	in
point	point
To	To
my	my
own	own
knowledge	knowledge
she	she
has	has
been	been
thirtyﬁve	thirtyfive
ever	ever
since	since
she	she
arrived	arrived
at	at
the	the
age	age
of	of
forty	forty
which	which
was	was
many	many
years	years
ago	ago
now	now
I	I
see	see
no	no
reason	reason
why	why
our	our
dear	dear
Cecily	Cecily
should	should
not	not
be	be
even	even
still	still
more	more
attractive	attractive
at	at
the	the
I	null
age	age
you	you
mention	mention
than	than
she	she
is	is
at	at
present	present
There	There
will	will
he	be
a	a
large	large
accumulation	accumulation
of	of
property	property
CE’CILY	Cecily
Algy	Algy
could	could
you	you
wait	wait
for	for
me	me
till	till
I	I
was	was
thirtyﬁve	thirtyfive
ALGERNON	Algernon
Of	Of
course	course
I	I
could	could
Cecily	Cecily
Youknow	You
I	know
could	I
112	could
THE	Cecily
IMPORTANCE	null
OF	null
BEING	null
EARIVEST	null
CECILY	null
Yes	Yes
I	I
felt	felt
it	it
instinctively	instinctively
but	but
I	I
couldn’t	couldnt
wait	wait
all	all
that	that
time	time
I	I
hate	hate
waiting	waiting
even	even
ﬁve	five
minutes	minutes
for	for
anybody	anybody
It	It
always	always
makes	makes
me	me
rather	rather
cross	cross
I	I
am	am
not	not
punctual	punctual
myself	myself
I	I
know	know
but	but
Irdo	I
like	do
punctu—	like
ality	punctuality
in	in
others	others
and	and
waiting	waiting
even	even
to	to
be	be
married	married
is	is
quite	quite
out	out
of	of
the	the
question	question
ALGERNON	Algernon
Then	Then
what	what
is	is
to	to
be	be
done	done
Cecily	Cecily
CECILY	Cecily
I	I
don’t	dont
know	know
Mr	Mr
Moncrieﬁ	Moncrieff
LADY	Lady
BRACKNELL	Bracknell
My	My
dear	dear
Mr	Mr
Worthing	Worthing
as	as
Miss	Miss
Cardew	Cardew
states	states
positively	positively
that	that
she	she
cannot	cannot
wait	wait
till	till
she	she
is	is
thirty—ﬁve—	thirtyfivea
a	null
remark	remark
which	which
I	I
am	am
bound	bound
to	to
say	say
seems	seems
to	to
me	me
to	to
show	show
a	a
somewhat	somewhat
impatient	impatient
nature—I	natureI
would	would
beg	beg
of	of
you	you
to	to
reconsider	reconsider
your	your
decision	decision
JACK	Jack
But	But
my	my
dear	dear
Lady	Lady
Bracknell	Bracknell
the	the
matter	matter
is	is
entirely	entirely
in	in
your	your
own	own
hands	hands
The	The
moment	moment
you	you
consent	consent
to	to
my	my
marriage	marriage
with	with
Gwendolen	Gwendolen
I	I
will	will
most	most
gladly	gladly
allow	allow
your	your
nephew	nephew
to	to
form	form
an	an
alliance	alliance
with	with
my	my
ward	ward
‘	Lady
LADY	Bracknell
BRACKNELL	null
V	null
Rising	Rising
and	and
drawing	drawing
herself	herself
up	up
You	You
must	must
be	be
quite	quite
aware	aware
that	that
what	what
you	you
propose	propose
is	is
out	out
of	of
the	the
question	question
‘	Jack
JACK	null
Then	Then
a	a
passionate	passionate
celibacy	celibacy
is	is
all	all
that	that
any	any
of	of
us	us
can	can
look	look
forward	forward
to	to
‘	Lady
THEIMPORTAVCE	Bracknell
OF	null
BEING	null
EARNEST	null
n3	null
LADY	null
BRACKNELL	null
That	That
is	is
not	not
the	the
destiny	destiny
I	I
propose	propose
for	for
Gwendolen	Gwendolen
Algernon	Algernon
of	of
course	course
can	can
choose	choose
for	for
himself	himself
Pulls	Pulls
out	out
her	her
watch	watch
Come	Come
dear	dear
GWENDOLEN	Gwendolen
rises	rises
we	we
have	have
already	already
missed	missed
ﬁve	five
if	if
not	not
six	six
trains	trains
To	To
miss	miss
any	any
more	more
might	might
expose	expose
us	us
to	to
comment	comment
on	on
the	the
platform	platform
Enter	Enter
DR	Dr
CHASUBLE	Chasuble
CHASUBLE	Chasuble
Everything	Everything
is	is
quite	quite
ready	ready
for	for
the	the
christenings	christenings
I	Lady
LADY	Bracknell
BRACKNELL	null
The	The
christenings	christenings
sir	sir
Is	Is
not	not
that	that
somewhat	somewhat
pre—	premature
mature	Chasuble
CHASUBLE	null
Looking	Looking
rather	rather
puzzled	puzzled
and	and
pointing	pointing
to	to
JACK	Jack
and	and
ALGERNON	Algernon
Both	Both
these	these
gentlemen	gentlemen
have	have
ex—	expressed
pressed	null
a	a
desire	desire
for	for
immediate	immediate
baptism	baptism
LADY	Lady
BRACKNELL	Bracknell
At	At
their	their
age	age
The	The
idea	idea
is	is
grotesque	grotesque
and	and
irre	irreligious
ligious	null
Algernon	Algernon
