HARVARD	Sir
no	no
pleasure	pleasure
in	in
the	the
tort	sort
of	of
meeting	meeting
and	and
lhould	should
he	be
too	too
hap	happy
y	null
to	to
change	change
it	it
for	for
n	a
play	play
and	and
with	with
you	you
But	But
it	it
had	had
better	better
not	not
he	be
alum	attempted
ted	null
perhaps	perhaps
She	She
had	had
Ipolten	spoken
it	it
but	but
the	she
trembled	trembled
when	when
it	it
we	was
done	done
conlcioul	conscious
that	that
her	her
word	words
were	were
hatched	listened
to	to
and	and
daring	daring
not	not
even	even
to	to
try	try
to	to
oheerve	observe
their	their
eﬂect	effect
It	It
wan	was
noon	soon
generally	generally
agreed	agreed
that	that
Tueeday	Tuesday
ahould	should
he	be
the	the
day	day
Charla	Charles
only	only
reeerving	reserving
the	the
advantage	advantage
of	of
still	still
teasing	teasing
hie	his
wife	wife
h	by
perlim	persisting
that	that
he	he
would	would
go	go
to	to
the	the
play	play
to‘morrow	tomorrow
nohod	if
e	nobody
Ie	else
would	would
Ca	Captain
in	null
Wentworth	Wentworth
in	left
hi	his
I	seat
and	and
walked	walked
to	to
the	the
lirep	fireplace
ace	null
probably	probably
liar	for
the	the
lake	sake
of	of
walking	walking
away	away
from	from
it	it
coon	soon
afterwards	afterwards
and	and
taking	taking
a	a
nation	station
with	with
In	less
hareﬁlced	barefaced
delign	design
by	by
Anne	Anne
“You	You
have	have
not	not
been	been
long	long
enough	enough
in	in
Bum	Bath
aid	said
he	he
“	null
to	to
enjoy	enjoy
the	the
evening	evening
panic	parties
of	of
the	the
place”	place
“	null
Oh	Oh
i	null
no	no
The	The
Initial	usual
character	character
of	of
thth	them
null	has
nothing	nothing
for	for
me	me
I	I
am	am
no	no
cardplayer	cardplayer
“	null
You	You
were	were
not	not
fomerlyI	formerly
null	I
know	know
You	You
dian	did
null	not
use	use
to	to
like	like
card”	cards
but	but
time	time
makes	makes
man	many
changes	changes
“I	I
am	am
not	not
yet	yet
In	so
much	much
chan	changed
cried	cried
Anne	Anne
and	and
It	stopped
ped	null
fearing	fearing
the	she
hardly	hardly
knew	knew
what	what
miaconnmction	misconstruction
tiger	After
waiting	waiting
a	a
few	few
momenta	moments
he	he
laid	said
and	and
an	as
if	if
it	it
were	were
the	the
retult	result
of	of
immediate	immediate
feeling	feeling
“	null
It	It
ll	is
a	a
period	period
indeedl	indeed
Ei	Eight
ht	years
yearn	and
and	a
a	half
halfie	is
a	a
period	period
”	Whether
LL	null
hethcr	null
he	he
would	would
have	have
proceeded	proceeded
farther	farther
wu	was
left	left
to	to
Anne’	Annes
imagination	imagination
to	to
ponder	ponder
over	over
in	in
a	a
ealmer	calmer
hour	hour
PBRSUASION	null
233	null
for	for
while	while
Itill	still
hring	hearing
the	the
loundt	sounds
he	he
llld	had
uttered	uttered
the	she
wan	was
mnled	startled
no	to
other	other
eubjecu	subjects
by	by
Henrietta	Henrietta
eager	eager
to	to
make	make
me	use
of	of
the	the
prelent	present
lemme	leisure
for	for
getting	getting
out	out
and	and
calling	calling
on	on
her	her
companion	companions
to	to
lone	lose
no	no
time	time
lea	lest
Iomebody	somebody
else	else
ehould	should
come	come
in	in
The	They
were	were
obliged	obliged
to	to
move	move
Anne	Anne
talked	talked
of	of
being	being
oerfectf	perfectly
ready	ready
and	and
tried	tried
to	to
look	look
it	it
but	but
the	she
felt	felt
that	that
could	could
enrietu	Henrietta
have	have
known	known
the	the
regret	regret
and	and
reluctance	reluctance
of	of
her	her
heart	heart
in	in
quitting	quitting
that	that
chair	chair
in	in
repnring	preparing
to	to
quit	quit
the	the
room	room
the	she
would	would
have	have
found	found
in	in
1	all
her	her
own	own
notation	sensations
for	for
her	her
cousin	cousin
in	in
the	the
very	very
security	security
of	of
his	his
alfection	affection
wherewith	wherewith
to	to
yity	pity
her	her
Their	Their
prepantlone	preparations
however	however
were	were
mapped	stopped
chart	short
Alarming	Alarming
oounda	sounds
were	were
heard	heard
other	other
viuitorl	visitors
approached	approached
and	and
the	the
door	door
wn	was
thrown	thrown
open	open
for	for
Sir	Sir
Walter	Walter
nod	and
Min	Miss
Elliot	Elliot
whoee	whose
enhance	entrance
seemed	seemed
to	to
give	give
a	a
general	general
chill	chill
Anne	Anne
felt	felt
III	an
inmot	instant
oppreuion	oppression
and	and
wherever	wherever
the	she
looked	looked
IIVI	saw
Iylnptome	symptoms
of	of
the	the
lame	same
The	The
comfort	comfort
the	the
freedom	freedom
the	the
gaiety	gaiety
of	of
the	the
room	room
was	was
over	over
huahed	hushed
into	into
cold	cold
composure	composure
determined	determined
silence	silence
or	or
imiyid	insipid
talk	talk
to	to
meet	meet
the	the
heartleu	heartless
elegance	elegance
of	of
her	her
father	father
and	and
timer	sister
How	How
mortifying	mortifying
to	to
feel	feel
that	that
it	it
was	was
to	so
Her	Her
jealoua	jealous
eye	eye
was	was
oatitﬁed	satisfied
in	in
one	one
particular	particular
Ca	Captain
min	null
Wentworth	Wentworth
wan	was
acknowledged	acknowledged
again	again
by	by
each	each
y	by
Elizabeth	Elizabeth
more	more
graciously	graciously
then	than
before	before
She	She
even	even
nddreued	addressed
him	him
once	once
and	and
looked	looked
at	at
him	him
more	more
than	than
once	once
Eliubeth	Elizabeth
om	was
in	in
fact	fact
revolving	revolving
a	a
great	great
measure	measure
The	The
eeqnel	sequel
explained	explained
it	it
After	After
the	the
wute	waste
of	of
a	a
few	few
minutel	minutes
in	in
laying	saying
the	the
proper	proper
nothing	nothings
the	she
begin	began
to	to
give	give
the	the
invitation	invitation
which	which
was	was
to	to
comprine	comprise
Ill	all
the	the
remaining	remaining
due	dues
of	of
the	the
Mulgrovee	Musgroves
“	null
Tomorrow	Tomorrow
evening	evening
a	to
meet	meet
I	a
few	few
ﬁiendn	friends
no	no
formal	formal
perty”	party
1	It
war	was
Ill	all
said	said
very	very
cefully	gracefully
Ind	and
the	the
card	cards
with	with
which	which
the	she
had	had
rovided	provided
reelf	herself
the	the
“Min	Miss
Elliot	Elliot
at	at
home	home
were	were
lei	laid
on	on
the	the
able	table
with	with
a	a
courteoue	courteous
comprehensive	comprehensive
unile	smile
no	to
Ill	all
and	and
one	one
mile	smile
and	and
one	one
card	card
more	more
decidedly	decidedly
for	for
Cnptain	Captain
34	Wentworth
PIRSUASION	null
Wentwonh	null
The	The
truth	truth
was	was
that	that
Elizabeth	Elizabeth
had	had
been	been
long	long
enough	enough
in	in
Bath	Bath
to	to
undemmd	understand
the	the
importance	importance
of	of
a	a
manof	man
luehan	of
null	such
null	an
air	air
and	and
appearance	appearance
ll	as
hie	his
The	The
put	past
wal	was
nothing	nothing
The	The
preterit	present
waathat	was
null	that
Captain	Captain
Weutworth	Wentworth
would	would
move	move
thou	about
well	well
in	in
her	her
drawtngmom	drawingroom
The	The
card	card
wu	was
pointedly	pointedly
given	given
and	and
Sir	Sir
Walter	Walter
and	and
Elizabeth	Elizabeth
arm	arose
and	and
dinppeared	disappeared
The	The
interruption	interruption
had	had
been	been
short	short
though	though
aevere	severe
and	and
eue	ease
and	and
animation	animation
returned	returned
to	to
moot	most
of	of
thee	those
they	they
left	left
In	as
the	the
door	door
that	shut
them	them
out	out
but	but
not	not
to	to
Anne	Anne
She	She
could	could
think	think
only	only
of	of
the	the
invitation	invitation
the	she
had	had
with	with
and	such
amniehment	astonishment
witnessed	witnessed
and	and
of	of
the	the
manner	manner
in	in
which	which
it	it
had	had
been	been
received	received
a	a
manner	manner
of	of
doubtful	doubtful
meaning	meaning
of	of
aurpriae	surprise
rather	rather
than	than
gratiﬁcation	gratification
of	of
polite	polite
acknowledgment	acknowledgement
rather	rather
than	than
acceptance	acceptance
She	She
knew	knew
him	him
the	she
law	saw
diadain	disdain
in	in
bi	his
eyes	eye
and	and
could	could
not	not
venture	venture
to	to
believe	believe
that	that
he	he
had	had
determined	determined
to	to
accept	accept
Inch	such
an	an
offering	offering
an	as
an	an
atonement	atonement
for	for
all	all
the	the
intolence	insolence
of	of
the	the
past	past
Her	Her
Ipiritn	spirits
sank	sank
He	He
held	held
the	the
card	card
in	in
hit	his
hand	hand
after	after
they	they
were	were
gone	gone
an	as
if	if
y	deeply
eonddering	considering
it	it
“	Only
nly	null
think	think
of	of
Elizabetha	Elizabeths
including	including
everybody	everybody
I	null
whispered	whispered
Mary	Mary
very	very
audihly	audibly
“	null
I	I
do	do
not	not
wonder	wonder
Captain	Captain
Wentworth	Wentworth
in	is
delighted	delighted
You	You
tee	see
he	he
cannot	cannot
put	put
the	the
card	card
out	out
of	of
hit	his
hand	hand
Anne	Anne
caught	caught
hia	his
eye	eye
law	saw
hiI	his
cheek	cheeks
glow	glow
and	and
hit	his
mouth	mouth
form	form
ittelf	itself
into	into
a	a
momentary	momentary
expreeaion	expression
of	of
contempt	contempt
and	and
turned	turned
away	away
that	that
lhe	she
might	might
neither	neither
lee	see
nor	nor
hear	hear
more	more
to	to
vex	vex
her	her
The	The
party	party
eeparaned	separated
The	The
gentlemen	gentlemen
hnd	had
their	their
own	own
pumiu	pursuits
the	the
ladle	ladies
proceeded	proceeded
on	on
their	their
own	own
hulineu	business
and	and
they	they
met	met
no	no
more	more
while	while
Anne	Anne
belonged	belonged
to	to
them	them
She	She
wan	was
cameﬂy	earnestly
begged	begged
to	to
return	return
and	and
dine	dine
and	and
give	give
them	them
all	all
the	the
rent	rest
of	of
the	the
day	day
but	but
her	her
apinta	spirits
had	had
been	been
so	so
long	long
exerted	exerted
that	that
at	at
present	present
the	she
felt	felt
unequal	unequal
to	to
move	more
and	and
ﬁt	fit
only	only
for	for
home	home
where	where
Ihe	she
might	might
be	be
cure	sure
of	of
being	being
II	as
a‘lent	silent
at	as
she	she
chose	chose
nonunion	Promising
235	to
‘	be
Prornﬁngtnbewiththemthewhole	with
ofthefollow	them
ing	the
null	whole
null	of
null	the
null	following
morning	morning
therefore	therefore
the	she
dated	closed
the	the
fad	fatigues
I	of
ofthe	the
present	present
by	by
a	a
toilaome	toilsome
walk	walk
to	to
Camden	Camden
lace	Place
there	there
to	to
apend	spend
the	the
evening	evening
chiein	chiefly
in	in
liatening	listening
to	to
the	the
buy	busy
arrangement	arrangements
of	of
Elizabeth	Elizabeth
and	and
Mn	Mrs
Clay	Clay
for	for
the	the
monowa	morrows
party	party
the	the
frequent	frequent
enumerntion	enumeration
of	of
the	the
none	persons
invited	invited
and	and
thc	the
continually	continually
improving	improving
detail	detail
of	of
lthc	all
embelliehmenu	the
null	embellishments
which	which
were	were
to	to
make	make
it	it
the	the
moat	most
corn	completely
etely	null
elegant	elegant
of	of
in	its
kind	kind
in	in
Bath	Bath
while	while
barnling	harassing
herael	herself
in	null
aecret	null
with	with
the	the
neverending	neverending
queatinn	question
of	of
whether	whether
Captain	Captain
Wentworth	Wentworth
would	would
come	come
or	or
not	not
They	They
were	were
reckoning	reckoning
him	him
an	as
certain	certain
but	but
with	with
her	her
it	it
was	was
a	a
gnawin	gnawing
tolicitude	solicitude
never	never
appeaeed	appeased
for	for
ﬁve	five
minutea	minutes
together	together
ghe	She
generally	generally
thought	thought
he	he
would	would
come	come
becauae	because
the	she
generally	generally
thought	thought
he	he
ought	ought
but	but
it	it
wan	was
a	a
case	case
which	which
the	she
could	could
not	not
to	so
ahape	shape
into	into
an	any
poaitive	positive
act	act
of	of
duty	duty
or	or
diacretion	discretion
an	as
inevitably	inevitably
to	to
d	defy
the	the
auggeationa	suggestions
of	of
very	very
appetite	opposite
feeling	feelings
She	She
only	only
routed	roused
heraelf	herself
from	from
the	the
broodingv	broodings
of	of
thin	this
readers	restless
agitation	agitation
to	to
let	let
Mra	Mrs
Clay	Clay
know	know
that	that
the	she
had	had
been	been
aeen	seen
with	with
Mr	Mr
Elliot	Elliot
three	three
houra	hours
after	after
hia	his
being	being
mypoled	supposed
to	to
be	be
out	out
of	of
Bath	Bath
for	for
having	having
watched	watched
in	in
vain	vain
for	for
name	some
intimation	intimation
of	of
the	the
interview	interview
from	from
the	the
lady	lady
heraelf	herself
the	she
determined	determined
to	to
mention	mention
it	it
and	and
it	it
seemed	seemed
to	to
her	her
that	null
there	there
waa	was
guilt	guilt
in	in
Mn	Mrs
Claya	Clays
face	face
an	as
the	she
liﬂened	listened
It	It
waa	was
unnaient	transient
cleared	cleared
away	away
In	in
an	an
instant	instant
but	but
Anne	Anne
could	could
imagine	imagine
the	she
read	read
there	there
the	the
conecionaneal	consciousness
of	of
hav	having
ing	null
by	by
aorne	some
complication	complication
of	of
mutual	mutual
trick	trick
or	or
come	some
overbearin	overbearing
authority	authority
of	of
hie	his
been	been
obliged	obliged
to	to
attend	attend
Perhaps	perhaps
or	for
half	half
an	an
hour	hour
to	to
his	his
lecturer	lectures
and	and
rentrictiona	restrictions
on	on
her	her
devignc	designs
on	on
ir	Sir
Walter	Walter
She	She
exclaimed	exclaimed
however	however
with	with
a	a
very	very
tolerable	tolerable
imitation	imitation
of	of
nature	nature
—	Oh
“Oh	null
dear	dear
very	very
true	true
Only	Only
think	think
Mina	Miss
Elliot	Elliot
to	to
my	my
great	great
aurpriae	surprise
I	I
met	met
with	with
Mr	Mr
Elliot	Elliot
in	in
Bath	Bath
Street	Street
I	I
waa	was
never	never
more	more
amilhed	astonished
He	He
turned	turned
back	back
and	and
walked	walked
with	with
me	me
to	to
the	the
Pump	Pump
Yard	Yard
He	He
had	had
been	been
Q	prevented
Lumimd	setting
not	off
m	for
be	Thornberry
delayed	but
36	I
muwon	really
revented	forget
of	by
for	what
Thorn	for
hot	null
I	I
ml	was
for	in
F	a
wha	hurry
orIavaainahfhiIl	and
y	could
get	not
by	much
rry	attend
and	and
could	I
not	can
much	only
attend	answer
and	for
I	his
can	being
only	determined
Inner	not
for	to
hie	be
being	delayed
in	in
hie	his
return	return
He	He
wanted	wanted
to	to
know	know
how	how
early	early
he	he
might	might
be	be
Idmitted	admitted
tomorroav	tomorrow
He	He
was	was
full	full
of	of
‘tomorrow’	tomorrow
and	and
it	it
it	is
ve	very
evident	evident
that	that
I	I
have	have
been	been
ﬁill	full
of	of
it	it
too	too
ever	ever
aince	since
null	I
entered	entered
the	the
home	house
and	and
learned	learnt
the	the
extenlon	extension
of	of
your	your
n	plan
and	and
all	all
that	that
had	had
happened	happened
or	or
my	my
aeeing	seeing
him	him
con	could
never	never
have	have
one	gone
an	so
entirely	entirely
out	out
of	of
my	my
head	head
charm	Chapter
33”	23
NE	One
day	day
only	only
had	had
Iince	passed
Anne’a	since
convenetion	Annes
null	conversation
with	with
Mn	Mrs
bmith	Smith
but	but
a	a
heater	keener
interest	interest
had	had
tucceeded	succeeded
and	and
the	she
via	was
now	now
no	so
little	little
touched	touched
by	by
Mr	Mr
Elliota	Elliots
conduct	conduct
except	except
by	by
in	its
eﬂ‘ecta	effects
in	in
one	one
quarter	quarter
that	that
it	it
became	became
a	a
matter	matter
of	of
courae	course
the	the
next	next
morning	morning
nill	still
to	to
defer	defer
her	her
explanatory	explanatory
vilit	visit
in	in
Riven	Rivers
Street	Street
She	She
had	had
pronriaed	promised
to	to
he	be
with	with
the	the
Mutgmvea	Musgroves
from	from
breakfaat	breakfast
to	to
dinner	dinner
Her	Her
faith	faith
wan	was
lighted	plighted
and	and
Mr	Mr
Elliotl	Elliots
character	character
like	like
the	the
Sultanell	Sultaness
cheherazade’a	Scheherazades
head	head
mutt	must
live	live
another	another
day	day
She	She
could	could
not	not
keep	keep
her	her
a	appointment
pointment	punctually
pimetually	null
however	however
the	the
weather	weather
was	was
un	unfavourable
vourahle	null
and	and
the	she
had	had
rieved	grieved
over	over
the	the
rain	rain
on	on
her	her
friend’a	friends
account	account
and	and
felt	felt
It	it
very	very
much	much
on	on
her	her
own	own
before	before
the	she
will	was
able	able
to	to
attempt	attempt
the	the
walk	walk
When	When
lhe	she
reached	reached
the	the
White	White
Hart	Hart
and	and
made	made
her	her
way	way
to	to
the	the
proper	proper
apartment	apartment
the	she
found	found
herlelf	herself
neither	neither
arriving	arriving
quite	quite
in	in
time	time
nor	nor
the	the
lint	first
to	to
arrive	arrive
The	The
party	party
before	before
her	her
were	were
Mn	Mrs
Mangrove	Musgrove
talking	talking
to	to
Mr	Mrs
Croft	Croft
and	and
Captain	Captain
Harville	Harville
to	to
Captain	Captain
Wentwortlu	Wentworth
and	and
the	she
immediately	immediately
heard	heard
that	that
Mary	Mary
and	and
Henrietta	Henrietta
too	too
impatient	impatient
to	to
wait	wait
had	had
gone	gone
out	out
the	the
mo	moment
Zﬁ¢InLJJ	null
Add»	null
twﬁ	null
FIRSUASION	null
23	null
7	null
men	null
it	it
had	had
elated	cleared
but	but
would	would
be	be
back	back
a	again
n	soon
noon	null
and	and
that	that
the	the
strictest	strictest
in	injunctions
notion	null
had	had
been	been
h	left
with	with
MrMntgrowe	Mrs
null	Musgrove
to	to
keep	keep
er	her
there	there
till	till
they	they
returned	returned
She	She
had	had
onl	only
to	to
ouhmit	submit
lit	sit
down	down
he	be
outwardly	outwardly
cornpoeed	composed
Ind	and
fee	feel
herelf	herself
plnn	plunged
ed	null
at	at
once	once
in	in
all	all
the	the
agitationwhich	agitations
the	which
null	she
had	had
mercy	merely
laid	laid
her	her
account	account
of	of
tanin	tasting
a	a
little	little
before	before
the	the
morning	morning
closed	closed
There	There
wu	was
no	no
de	delay
ny	null
no	no
walte	waste
of	of
time	time
She	She
wan	was
deep	deep
in	in
the	the
happiness	happiness
of	of
Inch	such
rninery	misery
or	or
the	the
milery	misery
of	of
such	such
happineu	happiness
untandy	instantly
Two	Two
minute	minutes
after	after
her	her
entering	entering
the	the
room	room
Captai	Captain
Wentwonh	Wentworth
uid—	said
“	null
We	We
will	will
write	write
the	the
letter	letter
we	we
were	were
talking	talking
of	of
Huville	Harville
now	now
if	if
you	you
will	will
give	give
me	me
materiale	materials
Mnteriala	Materials
were	were
all	null
at	at
hand	hand
on	on
a	a
leperre	separate
table	table
he	he
went	went
to	to
it	it
and	and
narly	nearly
turning	turning
hi	his
hack	back
on	to
them	them
ell	all
was	was
engroued	engrossed
by	by
writing	writing
Mr	Mrs
Muagmve	Musgrove
wu	was
giving	giving
Mn	Mrs
Croft	Croft
the	the
hietory	history
of	of
her	her
eldest	eldest
danghter’l	daughters
englgement	engagement
end	and
just	just
in	in
that	that
inconvenient	inconvenient
tone	tone
of	of
voice	voice
which	which
wan	was
perfectly	perfectly
audible	audible
while	while
it	it
mended	pretended
to	to
he	be
I	a
whiuper	whisper
Anne	Anne
felt	felt
that	that
the	she
did	did
not	not
ong	belong
to	to
the	the
convemtion	conversation
and	and
yet	yet
an	as
Captain	Captain
Harville	Harville
seemed	seemed
thoughtful	thoughtful
and	and
not	not
disposed	disposed
to	to
talk	talk
she	she
could	could
not	not
avoid	avoid
hearing	hearing
many	many
nndeurnhle	undesirable
particularl	particulars
Inch	such
ll	as
“how	how
Mr	Mr
Mulgrove	Musgrove
and	and
my	my
brother	brother
Hayter	Hayter
had	had
met	met
again	again
and	and
again	again
to	to
talk	talk
it	it
over	over
what	what
m	my
brother	brother
Hnyter	Hayter
had	had
said	said
one	one
day	day
and	and
what	what
Mr	Mr
vantgrnve	Musgrove
hld	had
propoeed	proposed
the	the
next	next
and	and
what	what
had	had
occurred	occurred
to	to
my	my
sitter	sister
Hayter	Hayter
and	and
what	what
the	the
young	young
1e	people
hnd	had
wilhed	wished
end	and
what	what
I	I
laid	said
at	at
ﬁm	first
I	I
never	never
co	could
d	consent
cement	null
to	to
but	but
was	was
nfrerwardl	afterwards
pennaded	persuaded
to	to
think	think
mi	might
ht	null
do	do
very	very
well”	well
and	and
a	a
great	great
deal	deal
in	in
the	the
lame	same
etye	style
of	of
openhearted	openhearted
communication	communication
minntiz	minutiae
which	which
even	even
with	with
every	every
advantage	advantage
of	of
taste	taste
and	and
delicac	delicacy
which	which
Mn	good
Mugrove	Mrs
null	Musgrove
could	could
not	not
give	give
could	could
be	be
prope	properly
y	interesting
interacting	null
only	only
to	to
the	the
oaninciplll	principals
Mrs	Mrs
Croft	Croft
wu	was
attending	attending
with	with
great	great
g	goodhumour
hnmour	null
and	and
whenever	whenever
ahc	she
38	spoke
PDSUASION	at
yokentnllitwuve	all
tenlb	it
Annehopedthe	was
null	very
null	sensibly
null	Anne
null	hoped
null	the
gentlemen	gentlemen
might	might
each	each
2	be
the	too
nine	much
xlfoccupied	selfoccupied
to	to
beer	hear
M“	null
And	And
In	so
Ina’anl	maam
Ill	all
time	these
thing	thing
conaidened”	considered
laid	said
a	Mrs
Muagmvgin	Musgrove
null	in
her	her
powerful	powerful
w	whisper
rtbnugh	though
we	we
could	could
have	have
viibed	wished
it	it
different	different
yet	yet
r	altogether
we	we
did	did
not	not
think	think
it	it
ﬁir	fair
to	to
and	stand
out	out
any	any
longer	longer
for	for
Charla	Charles
Hayter	Hayter
was	was
quite	quite
wild	wild
about	about
it	it
end	and
Henrietta	Henrietta
waprettyan	was
bod	pretty
null	near
null	as
null	bad
and	and
Iowethooghttheybad	so
null	we
null	thought
null	they
null	had
better	better
marry	marry
It	at
once	once
and	and
make	make
the	the
best	best
of	of
it	it
u	as
mny	many
othen	others
have	have
done	done
before	before
them	them
At	At
any	any
rate	rate
aid	said
1	I
it	it
will	will
he	be
better	better
than	than
a	a
long	long
engagement	engagement
’	That
“That	is
in	precisely
prettieer	null
what	what
I	I
won	was
going	going
to	to
obervc	observe
cried	cried
Mn	Mrs
Croft	Croft
“	null
I	I
would	would
rather	rather
have	have
young	young
people	people
nettle	settle
on	on
a	a
mall	small
income	income
at	at
once	once
and	and
have	have
to	to
Itruggle	struggle
with	with
n	a
few	few
dillicultiel	difficulties
together	together
than	than
be	be
involved	involved
in	in
a	a
long	long
engagement	engagement
1	I
nlwayn	always
think	think
that	that
no	no
mutual—	mutual
”	Oh
u0h	null
dear	dear
Mn	Mrs
Croft”	Croft
cried	cried
Mr	Mrs
Mulnge	Musgrove
unable	unable
to	to
let	let
her	her
liniob	finish
her	her
It	speech
“	null
there	there
u	is
nothing	nothing
I	I
no	so
nbominate	abominate
for	for
young	young
peer	people
null	as
a	a
long	long
engagement	engagement
It	It
in	is
what	what
I	I
nlwl	always
promted	protested
against	against
for	for
my	my
children	children
It	It
i	is
ll	all
very	very
wel	well
I	I
need	used
to	to
lay	say
for	for
young	young
people	people
to	to
be	be
engaged	engaged
if	if
there	there
ll	is
a	a
certainty	certainty
of	of
their	their
being	being
able	able
to	to
marry	marry
in	in
nix	six
month	months
or	or
even	even
in	in
twelve	twelve
but	but
a	a
long	long
engagement	engagement
1—	Yes
”	dear
«Ya	maam
deer	said
nn’am	Mrs
laid	null
Mr	null
Croft	Croft
“or	or
an	an
uncertain	uncertain
engagement	engagement
an	an
engagement	engagement
which	which
may	may
be	be
long	long
To	To
begin	begin
without	without
knowing	knowing
that	that
at	at
such	such
a	a
time	time
there	there
will	will
be	be
the	the
mean	means
of	of
marrying	marrying
I	I
hold	hold
to	to
be	be
very	very
un‘fe	unsafe
and	and
unwin	unwise
and	and
what	what
I	I
think	think
all	all
parent	parents
should	should
t	prevent
al	as
far	far
as	as
they	they
can	can
Anne	Anne
found	found
an	an
unex	unexpected
ted	interest
interett	null
here	here
She	She
felt	felt
in	its
icntion	application
to	to
Iteruel	herself
felt	felt
it	it
in	in
a	a
nervoul	nervous
thrill	thrill
all	all
m	over
null	her
and	and
at	at
the	the
am	same
moment	moment
that	that
her	her
in‘incﬁdy	eyes
null	instinctively
glanced	glanced
toward	towards
the	the
dinant	distant
table	table
pain	Captain
Ventworth	Wentworths
l	null
pen	pen
celled	ceased
to	to
move	move
hie	his
head	head
um	was
rained	raised
nnnunsron	pausing
39	null
panting	null
listening	listening
and	and
he	he
turned	turned
round	round
the	the
next	next
innant	instant
to	to
ve	give
a	a
look	look
one	one
quick	quick
corrosion	conscious
look	look
at	at
her	her
he	The
two	two
ladie	ladies
eontinued	continued
to	to
talk	talk
to	to
reurge	reurge
the	the
lame	same
admitted	admitted
truth	truths
and	and
enforce	enforce
them	them
with	with
each	such
example	examples
of	of
the	the
ill	ill
elfect	effect
of	of
a	a
contrary	contrary
ymﬁce	practice
u	as
had	had
fallen	fallen
within	within
their	their
obacrvan‘on	observation
but	but
Anne	Anne
heard	heard
nothing	nothing
dininctly	distinctly
it	it
war	was
only	only
a	a
buzz	buzz
of	of
word	words
in	in
her	her
ear	ear
her	her
mind	mind
war	was
in	in
oonfulon	confusion
Captain	Captain
Harville	Harville
who	who
had	had
in	in
truth	truth
been	been
hearing	hearing
none	none
of	of
it	it
now	now
left	left
hie	his
neat	seat
and	and
moved	moved
to	to
a	a
window	window
and	and
Anne	Anne
teeming	seeming
to	to
watch	watch
him	him
though	though
it	it
wan	was
from	from
thorough	thorough
abuence	absence
of	of
mind	mind
became	became
gradually	gradually
nnsihle	sensible
that	that
he	he
wan	was
inviting	inviting
her	her
to	to
join	join
him	him
where	where
he	he
mood	stood
He	He
looked	looked
at	at
her	her
with	with
a	a
mile	smile
and	and
a	a
little	little
motion	motion
of	of
the	the
head	head
which	which
expressed	expressed
“	null
Come	Come
to	to
me	me
I	I
have	have
Iornething	something
to	to
any	say
and	and
the	the
unaffected	unaffected
eaay	easy
kindneu	kindness
of	of
manner	manner
which	which
denoted	denoted
the	the
icelinga	feelings
of	of
an	an
older	older
acquaintance	acquaintance
than	than
he	he
really	really
wan	was
strongly	strongly
enforeed	enforced
the	the
invitation	invitation
She	She
rouaed	roused
herself	herself
and	and
went	went
to	to
him	him
The	The
window	window
at	at
which	which
he	he
mod	stood
war	was
at	at
the	the
other	other
end	end
of	of
the	the
room	room
from	from
when	where
the	the
two	two
ladiel	ladies
were	were
itnng	sitting
end	and
though	though
nrer	nearer
to	to
Captain	Captain
Wentworth’a	Wentworths
nhle	table
not	not
very	very
near	near
Al	As
she	she
joined	joined
him	him
Capmin	Captain
Harville’l	Harvilles
countenance	countenance
reaaumed	reassumed
the	the
Ierioru	serious
thoughtful	thoughtful
expression	expression
which	which
nemed	seemed
it	its
natural	natural
character	character
Look	Look
here”	here
laid	said
he	he
unfolding	unfolding
a	a
parcel	parcel
in	in
hie	his
hand	hand
and	and
diapla	displaying
ing	a
I	null
small	small
miniature	miniature
painting	painting
“do	do
you	you
know	know
who	who
t	that
is”	is
“Ceminl	Certainly
Captain	Captain
Benwick	Benwick
Yet	Yes
a	and
you	you
may	may
gueu	guess
who	who
it	it
in	is
for	for
But	But
in	in
a	a
deep	deep
tone	tone
“it	it
way	was
not	not
done	done
for	for
her	her
Minn	Miss
Elliot	Elliot
do	do
you	you
remember	remember
our	our
walking	walking
together	together
at	at
Lyme	Lyme
and	and
grieving	grieving
for	for
him	him
i	null
I	I
little	little
thought	thought
then—hut	thenbut
no	no
matter	matter
Thin	This
waa	was
drawn	drawn
at	at
the	the
Cape	Cape
He	He
met	met
with	with
a	a
clever	clever
young	young
German	German
artist	artist
at	at
the	the
Cape	Cape
and	and
in	in
compliance	compliance
with	with
n	a
pmrnile	promise
to	to
my	my
poor	poor
dirt	sister
eat	sat
to	to
him	him
and	and
no	was
Pmuutbtt	bringing
no	it
ithonnfmhergandlhnvenowthe	home
getﬁngitpropedyaetforanotherl	for
null	her
null	and
null	I
null	have
null	now
null	the
null	charge
null	of
null	getting
null	it
null	properly
null	set
null	for
null	another
It	It
was	was
minim	a
null	commission
to	to
me	me
Butwhoelaewauherewemploy	But
null	who
null	else
null	was
null	there
null	to
null	employ
null	I
hope	hope
I	I
can	can
allowforhim	allow
Iamnotaorryindeed	for
m	him
mule	I
null	am
null	not
null	sorry
null	indeed
null	to
null	make
it	it
over	over
to	to
another	another
He	He
undertake	undertakes
in”	it
ﬁn	looking
towarda	towards
Chagrin	Captain
Wentworth	Wentworth
“he	he
in	is
writing	writing
null	about
it	it
new	now
A	And
with	with
a	a
quivering	quivering
lip	lip
he	he
wound	wound
uy	up
the	the
whole	whole
by	by
