BOUT	About
taking	taking
everybody	everybody
at	at
leat	least
Robert	Robert
by	by
turprize	surprise
end	and
I	I
ahall	shall
loae	lose
every	every
one	one
Indwhat	and
in	what
null	is
worse	worse
cook	cook
null	has
null	just
been	been
telling	telling
me	me
that	that
the	the
tur	turkey
which	which
I	I
particularly	particularly
wiahed	wished
not	not
to	to
be	be
dressed	dressed
till	till
unday	Sunday
becauae	because
I	I
know	know
how	how
much	much
more	more
Dr	Dr
Grant	Grant
would	would
enjoy	enjoy
it	it
on	on
Sunday	Sunday
after	after
the	the
fatigue	fatigues
of	of
the	the
day	day
will	will
not	not
keep	keep
beyond	beyond
tomorrow	tomorrow
Theoe	These
are	are
Iomething	something
like	like
grievanoea	grievances
and	and
make	make
me	me
think	think
the	the
weather	weather
moat	most
unaeaaonably	unseasonably
clone	close
“	null
The	The
aweeta	sweets
of	of
housekeeping	housekeeping
in	in
a	a
country	country
village	village
I	said
”	Miss
aaid	null
Mial	null
Crawford	Crawford
archly	archly
“	null
Commend	Commend
me	me
to	to
the	the
nurae	nurseryman
n	null
and	and
the	the
poulrerer	poulterer
“	My
ydar	dear
child	child
commend	commend
Dr	Dr
Grant	Grant
to	to
the	the
deanery	deanery
of	of
Weatminater	Westminster
or	or
St	St
Pauls	Pauls
and	and
I	I
ahouldhe	should
null	be
as	as
glad	glad
of	of
your	your
nuneryrnan	nurseryman
and	and
poulterer	poulterer
at	as
you	you
could	could
be	be
But	But
we	we
have	have
no	no
ouch	such
people	people
in	in
Mansﬁeld	Mansfield
What	What
would	would
you	you
have	have
me	me
do	do
i	Oh
“Ohl	null
you	you
can	can
do	do
nothing	nothing
but	but
what	what
you	you
do	do
already	already
be	be
Fla	plagued
ed	null
very	very
often	often
and	and
never	never
lose	lose
your	your
temper	temper
“	Thank
hank	you
on	null
but	but
there	there
in	is
no	no
eacaping	escaping
these	these
little	little
vexationa	vexations
NIaq	Mary
live	live
where	where
we	we
may	may
and	and
when	when
you	you
are	are
Denied	settled
in	in
town	town
and	and
I	I
come	come
to	to
ace	see
you	you
I	I
dare	dare
any	say
I	I
ahall	shall
find	find
null	you
with	with
youn	yours
in	in
quite	spite
of	of
the	the
nuneryman	nurseryman
and	and
the	the
ponterer—or	poulterer
perhapa	perhaps
on	on
their	their
very	very
account	account
Their	Their
remoteneu	remoteness
and	and
unpunctuality	unpunctuality
or	or
their	their
exorbiornt	exorbitant
charge	charges
and	and
frauda	frauds
will	will
be	be
drawing	drawing
forth	forth
bitter	bitter
lamentationa	lamentations
“	null
I	I
mean	mean
to	to
be	be
too	too
rich	rich
to	to
lament	lament
or	or
to	to
feel	feel
anything	anything
of	of
the	the
non	sort
A	A
large	large
income	income
ll	is
the	the
best	best
recipe	recipe
for	for
null	happiness
I	I
ever	ever
heard	heard
of	of
It	It
certainly	certainly
may	may
aecure	secure
all	all
the	the
m	myrtle
rtle	null
and	and
turkey	turkey
part	part
of	of
it	it
I	You
“	null
on	null
intend	intend
to	to
be	be
very	very
richi	rich
raid	said
Edmund	Edmund
with	with
aloolt	a
null	look
which	which
to	to
Fanny’a	Fannys
eye	eye
had	had
a	a
great	great
dell	deal
of	of
aerioua	serious
meaning	meaning
V	null
To	To
be	be
lure	sure
Do	Do
not	not
you	you
Do	Do
not	not
we	we
all	all
i	null
“	null
I	I
cannot	cannot
intend	intend
anything	anything
which	which
it	it
muct	must
be	be
null	so
null	completely
null	beyond
null	my
null	power
to	to
l	command
P	Miss
220	Crawford
MANSFIELD	may
PARK	chuse
complete	her
beyond	degree
wet	of
null	wealth
null	She
null	has
null	only
to	to
command	fix
Mianfordynuy	on
churenlltzrpd’egree	her
null	number
of	of
walth	thousands
She	a
bu	year
onlyloﬁxonhernumberofthonndlnyur“	and
thetecanbenodmbtofdueiromning	there
Mylnmtiont	can
null	be
null	no
null	doubt
null	of
null	their
null	coming
null	My
null	intentions
are	are
only	only
not	not
to	to
be	be
poor	poor
“By	By
moderation	moderation
md	and
economy	economy
and	and
bringing	bringing
down	down
your	your
want	wants
to	to
your	your
income	income
end	and
ought	all
null	that
I	I
undermad	understand
you—until	youand
m	a
nitil	very
rn	proper
nonuyour	plan
tinre	it
null	is
null	for
null	a
null	person
null	at
null	your
null	time
of	of
liﬁe	life
meant	with
rd	such
indiﬂerent	limited
connectiom	means
null	and
null	indifferent
null	connexions
What	What
any«want	can
null	you
null	want
but	but
ndeoent	a
maintennncel	decent
null	maintenance
You	You
have	have
not	not
much	much
time	time
before	before
you	you
end	and
your	your
relations	relations
are	are
in	in
no	no
rituation	situation
to	to
do	do
anything	anything
for	for
you	you
or	or
to	to
mortify	mortify
you	you
null	by
the	the
cannon	contrast
of	of
their	their
own	own
wenlth	wealth
and	and
con	consequence
uenoe	Be
bonnet	honest
and’poor	and
null	poor
by	by
I“	all
mano—	meansbut
butI	I
notenvy	shall
ougIdonotmnchthinkInhallr	not
null	envy
null	you
null	I
null	do
null	not
null	much
null	think
null	I
null	shall
even	even
respect	respect
hue	you
I	I
null	have
null	a
much	much
grater	greater
reopect	respect
null	for
those	those
that	that
mylzwuneot	are
null	honest
and	and
rich”	rich
’	Your
“Your	degree
of	of
t	respect
for	for
hon	honesty
rich	rich
or	or
r	poor
in	is
ydcvgi	precisely
null	what
I	I
mo	have
mnnerezttyooncem	no
null	manner
null	of
null	concern
null	with
I	I
0	do
not	not
mean	mean
to	to
be	be
poor	poor
Poverty	Poverty
in	is
exactly	exactly
what	what
I	I
have	have
determined	determined
ngainn	against
Honesy	Honesty
in	in
the	the
loamhing	something
between	between
in	in
the	the
middle	middle
Ital	state
of	of
worldl	worldly
dreunuunoel	circumstances
in	is
all	all
that	that
I	I
am	am
nnxiour	anxious
for	for
your	your
not	not
looiing	looking
down	down
on	on
“	null
But	But
I	I
do	do
look	look
down	down
upon	upon
it	it
if	if
it	it
might	might
have	have
been	been
higher	higher
I	I
mun	must
look	look
down	down
upon	upon
anything	anything
contented	contented
with	with
ohucunty	obscurity
when	when
it	it
might	might
rise	rise
to	to
dimncuon	distinction
“But	But
how	how
my	may
it	it
rile	rise
How	How
my	may
my	my
haneay	honesty
at	at
lea	least
rice	rise
to	to
any	any
distinction	distinction
i	This
”	was
Thin	null
we	null
not	not
to	so
very	very
euy	easy
1	a
quenion	question
on	to
newer	answer
and	and
oocuioned	occasioned
an	an
“Ohl	Oh
of	of
tome	some
length	length
from	from
the	the
fair	fair
‘lady	lady
before	before
nhe	she
could	could
add	add
“You	You
ought	ought
to	to
be	be
in	in
parliament	parliament
or	or
you	you
thould	should
have	have
gone	gone
into	into
the	the
my	army
ten	ten
year	years
I	ago
o	That
‘	is
g“TRIMnot	not
muehtothe	much
pu	to
null	the
null	purpose
now	now
nndnto	and
null	as
null	to
my	my
being	being
in	in
yarlinment	parliament
I	I
believe	believe
mun	I
null	must
wait	wait
till	till
there	there
in	is
In	an
upecinl	especial
Internny	assembly
for	for
the	the
myrerentation	representation
of	of
younger	younger
merino	sons
PARK	null
“1	null
lone	null
who	who
have	have
little	little
to	to
live	live
on	on
No	No
Min	Miss
anfotd	Crawford
he	he
added	added
in	in
a	a
more	more
aerionl	serious
tone	tone
“there	there
are	are
distinctionwhich	distinctions
null	which
I	I
llIOllld	should
be	be
mioenble	miserable
if	if
I	I
thought	thought
myself	myself
without	without
any	any
chance—abducer	chanceabsolutely
without	without
chance	chance
or	or
possibility	possibility
of	of
obtaining—but	obtainingbut
they	they
are	are
of	of
a	a
diﬁerent	different
character”	character
A	A
look	look
of	of
macioumeu	consciousness
I	as
he	he
he	spoke
and	and
what	what
Ieerned	seemed
a	a
continuum	consciousness
of	of
mailman	manner
u	on
anlorde	Miss
ride	Crawfords
In	side
nhe	as
null	she
made	made
mne	some
laughing	laughing
Intwer	answer
wan	was
Ionawful	sorrowfull
food	food
for	for
Fenny’e	Fannys
obeervation	observation
3	null
and	and
ﬁnding	finding
heraelf	herself
nite	quite
unable	unable
to	to
attend	attend
no	as
she	she
ought	ought
to	to
Mn	Mrs
Grant	Grant
by	by
v	whose
Ide	side
ahe	she
we	was
now	now
following	following
the	the
others	others
she	she
had	had
nearly	nearly
reeolved	resolved
ongoing	on
null	going
home	home
immedlnely	immediately
and	and
only	only
united	waited
for	for
conn	courage
to	to
I	say
mwhen	so
null	when
the	the
oound	sound
ofthegrut	of
null	the
null	great
clock	clock
It	at
Man	Mansfield
Id	Park
1’	striking
atriking	null
three	three
made	made
her	her
feel	feel
that	that
Ihe	she
had	had
really	really
been	been
much	much
longer	longer
absent	absent
than	than
usual	usual
and	and
brought	brought
the	the
previous	previous
selfinquiry	selfinquiry
of	of
whether	whether
she	she
should	should
take	take
leave	leave
or	or
not	not
juet	just
then	then
and	and
how	how
to	to
a	a
very	very
vpeedy	speedy
iuue	issue
With	With
undonbting	undoubting
decin‘m	decision
the	she
directly	directly
began	began
her	her
adieu	adieus
and	and
Edmund	Edmund
began	began
at	at
the	the
same	same
time	time
to	to
recollect	recollect
that	that
hi	his
rnother	mother
had	had
been	been
inquiring	inquiring
for	for
her	her
and	and
tint	that
be	he
bid	had
walked	walked
down	down
to	to
the	the
Patronage	Parsonage
on	on
pu	purpose
to	to
bring	bring
her	her
back	back
Inn	Fannys
I	null
hurry	hurry
increuedr	increased
and	and
without	without
in	in
theleaot	the
null	least
expecting	expecting
mund’a	Edmunds
attendance	attendance
lhe	she
would	would
have	have
hutened	hastened
away	away
alone	alone
but	but
the	the
general	general
pace	pace
wu	was
quickened	quickened
and	and
they	they
unaccompanied	all
null	accompanied
her	her
into	into
the	the
home	house
through	through
which	which
it	it
wan	was
neceuar	necessary
topeu	to
null	pass
Dr	Dr
Grant	Grant
wu	was
intheveeti—	in
buleand	the
u	vestibule
eynopttotpenktohirn	and
Ihe	as
null	they
null	stopt
null	to
null	speak
null	to
null	him
null	she
found	found
from	from
Edmund’l	Edmunds
manner	manner
that	that
he	he
did	did
mean	mean
to	to
gowith	go
null	with
her	her
He	He
too	too
wa	was
taking	taking
leave	leave
She	She
could	could
not	not
but	but
be	be
thankful	thankful
In	In
the	the
moment	moment
of	of
parting	parting
Edmund	Edmund
we	was
invited	invited
by	by
Dr	Dr
Grant	Grant
to	to
eat	eat
hie	his
mutton	mutton
with	with
him	him
the	the
next	next
day	day
and	and
Fanny	Fanny
had	had
barely	barely
time	time
for	for
an	an
nnpleaant	unpleasant
feeling	feeling
on	on
the	the
occuion	occasion
when	when
Mr	Mrs
Grant	Grant
with	with
rudder	sudden
recollection	recollection
turned	turned
to	to
her	her
and	and
Inked	asked
for	for
the	the
pleuure	pleasure
of	of
her	her
company	company
too	too
Thin	This
wu	was
no	so
new	new
an	an
attention	attention
no	so
MANSFIELD	perfectly
PARK	new
2	a
ﬁnally	circumstance
new	in
a	the
circumuanoe	events
in	of
the	Fannys
erenuof	life
Fanny’l	that
thltlhewalallmrprieeundemburrumntaod	she
null	was
null	all
null	surprise
null	and
null	embarrassment
null	and
while	while
minerEng	stammering
out	out
her	her
great	great
obligation	obligation
and	and
her——	her
“but	but
ahe	she
did	did
not	not
euppoee	suppose
it	it
would	would
be	be
inher	in
null	her
power	power
wan	was
lookin	looking
at	at
Edmund	Edmund
for	for
hi	his
opinion	opinion
and	and
help	help
But	But
Edmund	Edmund
eiighted	delighted
with	with
her	her
ham	having
Inch	such
on	an
ha	happiness
offered	offered
and	and
memining	ascertaining
with	with
half	half
a	a
00k	look
and	and
half	half
a	a
leoUenoe	sentence
that	that
ehe	she
had	had
no	no
ohection	objection
but	but
on	on
her	her
aunt’e	aunts
account	account
could	could
not	not
imagine	imagine
t	that
hi	his
mother	mother
would	would
nuke	make
any	any
diﬂieulty	difficulty
of	of
upanng	sparing
her	her
Ind	and
therefore	therefore
give	gave
hir	his
decided	decided
open	open
advice	advice
that	that
the	the
invitation	invitation
nhould	should
he	be
Incepted	accepted
and	and
though	though
Fanny	Fanny
would	would
not	not
venture	venture
even	even
on	on
h1	his
encouragement	encouragement
to	to
euch	such
3	a
ﬂight	flight
of	of
audacioun	audacious
independence	independence
ir	it
wan	was
noon	soon
untied	settled
that	that
if	if
nothing	nothing
were	were
heard	heard
to	to
the	the
contrary	contrary
Mn	Mrs
Grant	Grant
might	might
ex	expect
her	her
“And	And
you	you
know	know
what	what
your	your
dinner	dinner
”	will
aid	be
Mn	said
Grant	Mrs
mailing—‘4	Grant
the	smilingthe
turkey	turkey
and	and
I	I
auure	assure
you	you
a	a
very	very
ﬁne	fine
one	one
for	for
my	my
dear	dear
turning	turning
to	to
her	her
huhnd	husband
cook	cook
inilu	insists
upon	upon
the	the
Iurkey’l	turkeys
being	being
dread	dressed
tomorrow	tomorrow
“	null
Very	Very
well	well
very	very
well”	well
cried	cried
Dr	Dr
Grant	Grant
“	null
all	all
the	the
better	better
I	I
am	am
lad	glad
to	to
hear	hear
you	you
have	have
only	anything
thingeo	so
good	good
in	in
the	the
home	house
ut	But
Min	Miss
Price	Price
and	and
Mr	Mr
dmund	Edmund
Bertram	Bertram
I	I
dare	dare
nay	say
would	would
take	take
their	their
chance	chance
We	We
none	none
of	of
u	us
want	want
to	to
hear	hear
the	the
hill	bill
of	of
fare	fare
A	A
friendly	friendly
meeting	meeting
and	and
not	not
a	a
ﬁne	fine
dinner	dinner
in	is
all	all
we	we
have	have
in	in
View	view
A	A
turkey	turkey
or	or
a	a
game	goose
or	or
a	a
leg	leg
of	of
mutton	mutton
or	or
whatever	whatever
you	you
and	and
your	your
cool	cook
chute	chuse
to	to
give	give
us”	us
The	The
two	two
coulinl	cousins
walked	walked
home	home
together	together
and	and
except	except
in	in
the	the
immediate	immediate
diuualion	discussion
of	of
this	this
engagement	engagement
which	which
Edmund	Edmund
lpoke	spoke
of	of
with	with
the	the
wanna	warmest
Iatiafaction	satisfaction
an	as
ID	so
particularly	particularly
delirahle	desirable
for	for
her	her
in	in
the	the
intimacy	intimacy
which	which
he	he
saw	saw
with	with
so	so
much	much
plealure	pleasure
emhlilhed	established
it	it
wan	was
a	a
nlent	silent
walk	walk
for	for
having	having
ﬁnuhed	finished
that	that
Iuhjecr	subject
he	he
grew	grew
thoughtlul	thoughtful
and	and
indiepoeed	indisposed
for	for
any	any
other	other
HANSlIm	CHAPTER
PARK	XXIII
223	But
cblum	why
533	should
“	Mrs
UT	Grant
why	ask
should	Fanny
Mrl	said
Grant	Lady
uk	Bertram
null	How
null	came
null	she
null	to
null	think
null	of
null	asking
Fanny	Fanny
aid	Fanny
ley	never
Bertram	dines
“How	there
time	you
line	know
to	in
think	this
null	sort
of	of
asking	way
Funny	I
Funny	cannot
never	spare
dinev	her
there	and
you	I
knowinthiuon	am
ofwny	sure
Iannot	she
Ipamherﬁnd	does
I	not
mmvhedounotwantw	want
null	to
go	go
Funnyyou	Fanny
donot	you
null	do
null	not
want	want
to	to
go	go
do	do
you	you
“	If
Ifyou	you
luch	put
null	such
a	a
question	question
to	to
her	her
cried	cried
Edmund	Edmund
n	null
preventing	preventing
coulin’l	his
3	cousins
“Funny	speaking
null	Fanny
will	will
immediate	immediately
my	say
No	No
but	but
urn	I
lure	am
null	sure
my	my
deur	dear
mother	mother
Ihe	she
wonldlikemgo	would
null	like
null	to
null	go
and	and
I	I
unneeno	can
rehton	see
whynhe	no
Ihould	reason
not”	why
“	she
null	should
null	not
I	I
cannot	cannot
imagine	imagine
wh	why
Mn	Mrs
Grant	Grant
lhould	should
think	think
of	of
“king	asking
her	her
She	She
never	never
Mon	did
null	before
She	She
uned	used
to	to
all	ask
your	your
litterI	sisters
now	now
and	and
then	then
but	but
Ill	she
never	never
Inked	asked
Funny”	Fanny
“If	If
null	you
cannot	cannot
do	do
without	without
me	me
maIm—	maam
aid	said
Faun	Fanny
In	in
I	a
selfdenyizf	selfdenying
tone	tone
“	But
ut	null
my	my
mother	mother
l	will
have	have
my	my
father	father
with	with
her	her
all	all
the	the
evening	evening
“Tobemaollhall”	To
’	be
Snypooe	sure
on	so
null	I
null	shall
null	Suppose
null	you
take	take
my	my
other	fathers
I	opinion
ion	maam
IIII	Thats
Im	well
’	thought
“Thut’l	of
Wye“	So
mum	I
of	will
So	null
Edmund	Edmund
I	I
will	will
uk	ask
Sir	Sir
ThomI	Thomas
u	as
soon	soon
It	as
be	he
com	comes
in	in
whether	whether
I	I
an	can
do	do
without	without
her”	her
“An	As
yon	you
pleue	please
mn’nln	maam
on	on
that	that
head	head
but	but
I	I
mm	meant
my	my
father	fathers
opinion	opinion
n	as
to	to
the	the
null	propriety
of	of
the	the
invitadon’o	invitations
hung	being
uccepted	accepted
or	or
not	not
Ind	and
null	I
think	think
hewill	he
conideriu	will
null	consider
null	it
null	a
right	right
thing	thing
by	by
Mn	Mrs
Grant	Grant
on	as
well	well
u	as
by	by
Funny	Fanny
tlut	that
hem	being
the	the
ﬁn	first
invimion	invitation
it	it
lhould	should
be	be
accepted”	accepted
“	I
do	do
not	not
know	know
We	We
will	will
not	ask
him	him
But	But
he	he
will	will
be	be
very	very
much	much
varprized	surprised
that	that
Mn	Mrs
Grant	Grant
nhould	should
a	ask
Funny	Fanny
at	at
all”	all
There	There
wan	was
nothing	nothing
more	more
to	to
be	be
lid	said
or	or
thlt	that
could	could
he	be
lid	said
to	to
any	any
purpote	purpose
till	till
Sir	Sir
Thoma	Thomas
wete	were
Mt	present
but	but
224	the
IANIIIILD	subject
PAIL	involving
theb	as
invol	it
uitdidhermevain	did
roamfon	her
foal	own
amalgam	evenings
In	comfort
null	for
null	the
null	morrow
null	was
null	so
much	much
51	uppermost
null	in
Lady	Lady
Betmm’u	Bertrams
mindﬁhnt	mind
halfan	that
null	half
null	an
hour	hour
rundam	afterwards
hi	on
lookingin	his
forlminucein	looking
hinvayﬁvmhilplnnmionm	in
windmill	for
anemia	a
alledhhn	minute
mehen	in
null	his
null	way
null	from
null	his
null	plantation
null	to
null	his
null	dressingroom
null	she
null	called
null	him
null	back
null	again
null	when
he	he
had	had
almost	almost
cloned	closed
the	the
door	door
with	with
“ShThmsmp	Sir
muenL—I	Thomas
null	stop
null	a
null	momentI
have	have
Ming	something
In	to
my	say
to	to
you”	you
Hawneofalrnllngwforlheneurmkehe	Her
muhleof	tone
niing	of
null	calm
null	languor
null	for
null	she
null	never
null	took
null	the
null	trouble
null	of
null	raising
her	her
voicewullmyl	voice
head	was
null	always
null	heard
and	and
amended“	attended
nndSirThomuumehlck	to
Hernary	and
null	Sir
null	Thomas
null	came
null	back
null	Her
null	story
began	began
31nd	and
Faun	Fanny
immediuelyrlippedout	immediately
oftheroom	slipped
null	out
null	of
null	the
null	room
for	for
to	to
hear	hear
henel	herself
the	the
abject	subject
ofany	of
diocualinn	any
null	discussion
with	with
her	her
uncle	uncle
w	was
more	more
than	than
her	her
nerves	nerves
wuld	could
her	bear
She	She
um	was
axiom	anxious
the	she
knew—more	knewmore
anxious	anxious
perh	perhaps
than	than
the	she
uughzmbe—forwhacwuiuﬁznﬂw	ought
sham	to
ormid	befor
bntifherudemmhengrutwhﬂewnIidering	what
null	was
null	it
null	after
null	all
null	whether
null	she
null	went
null	or
null	staid
null	but
null	if
null	her
null	uncle
null	were
null	to
null	be
null	a
null	great
null	while
null	considering
and	and
decidinglnd	deciding
null	and
with	with
very	very
ve	grave
lookad	looks
thou	and
gave	those
loch	grave
null	looks
directed	directed
to	to
her	her
unjust	and
lul	at
depilde	last
againuhcrulumihtnotbeablemu	decide
m	against
y	her
whmiuive	she
null	might
null	not
null	be
null	able
null	to
null	appear
null	properly
null	submissive
and	and
indillgerent	indifferent
Her	Her
came	cause
mhsa	meanwhile
I	went
on	on
well	well
It	It
began	began
on	on
Lady	Lady
Bemaml	Bertrams
pan	part
with—	withI
“I	null
have	have
something	something
to	to
all	tell
you	you
that	that
will	will
lurprize	surprise
you	you
Mn	Mrs
Gun	Grant
hal	has
inked	asked
Fanny	Fanny
to	to
dinner”	dinner
“	Well
ell	null
said	said
Sir	Sir
Thomas	Thomas
an	as
if	if
waiting	waiting
more	more
to	to
u‘ccomplilh	accomplish
the	the
nutprize	surprise
Edmund	Edmund
wantl	wants
her	her
on	to
go	go
But	But
haw	how
can	can
I	I
opure	spare
her	her
f	null
She	She
will	will
be	be
late	late
laid	said
Sir	Sir
Thomaa	Thomas
taking	taking
out	out
hi	his
walch	watch
but	but
what	what
in	is
your	your
difﬁculty	difficulty
l	null
Edmund	Edmund
found	found
himself	himself
obliged	obliged
to	to
lpeak	speak
and	and
ﬁll	fill
up	up
the	the
blunlu	blanks
in	in
bi	his
motheru	mothers
nary	story
He	He
told	told
the	the
whole	whole
and	and
Ihe	she
had	had
onl	only
to	to
add	add
So	So
strange	strange
l	null
for	for
Mn	Mrs
Gram	Grant
never	never
need	used
to	to
as	ask
her”	her
“	null
But	But
in	is
it	it
not	not
very	very
natural”	natural
ohoerved	observed
Edmund	Edmund
a	null
that	that
Mn	Mrs
Grant	Grant
should	should
Wllll	wish
to	to
procure	procure
so	so
agreeable	agreeable
I	a
visimr	visitor
for	for
her	her
deter	sister
MANSFIILD	Nothing
PARK	can
915	be
“Nothingunbememmial”nid	more
Sitl‘holnu	natural
nﬁualhmtddibenﬁoni“wwetecberenoliueriln	said
themeouldmydm	Sir
null	Thomas
null	after
null	a
null	short
null	deliberation
null	nor
null	were
null	there
null	no
null	sister
in	in
nianbemrenlwrl	the
MnGnntl	case
Priceto	could
null	anything
null	in
null	my
null	opinion
null	be
null	more
null	natural
null	Mrs
null	Grants
null	shewing
null	civility
null	to
null	Miss
null	Price
null	to
Lady	Lady
Bemun’onieee	Bertrams
mutate	niece
on	could
null	never
null	want
null	explanation
The	The
mpﬁulunfedhhtdﬁuhoul	only
betheﬁuime	surprise
ofmbeingplid	I
mewuperfeclly	can
null	feel
null	is
null	that
null	this
null	should
null	be
null	the
null	first
null	time
null	of
null	its
null	being
null	paid
null	Fanny
null	was
null	perfectly
right	right
in	in
giving	giving
onlyacondiﬁonal	only
Answer	a
Shel	conditional
mfeel	answer
unheoughhunutu	She
null	appears
null	to
null	feel
null	as
null	she
null	ought
null	But
null	as
null	I
conclude	conclude
d	that
muanma	she
null	must
null	wish
null	to
go	go
Ince	since
elikelo	all
null	young
null	people
null	like
null	to
null	be
together	together
unneeno	I
mwﬂmhwmmﬂm	can
Bneunldovithonlher8irThonmP	see
“Indeedlthinkyonnuy”	no
“devmmmmkmwhenmyineril	reason
“gm”	why
null	she
null	should
null	be
null	denied
null	the
null	indulgence
null	But
null	can
null	I
null	do
null	without
null	her
null	Sir
null	Thomas
null	Indeed
null	I
null	think
null	you
null	may
null	She
null	always
null	makes
null	tea
null	you
null	know
null	when
null	my
null	sister
null	is
null	not
null	here
null	Your
null	sister
null	perhaps
null	may
null	be
null	prevailed
null	on
null	to
null	spend
null	the
null	day
null	with
null	us
null	and
null	I
null	shall
null	certainly
null	be
null	at
null	home
null	Very
null	well
null	then
null	Fanny
null	may
null	go
null	Edmund
null	The
null	good
null	news
null	soon
null	followed
null	her
null	Edmund
null	knocked
null	at
null	her
null	door
null	in
null	his
null	way
null	to
null	his
null	own
null	Well
null	Fanny
null	it
null	is
null	all
null	happily
null	settled
null	and
null	without
null	the
null	smallest
null	hesitation
null	on
null	your
null	uncles
null	side
null	He
null	had
null	but
null	one
null	opinion
null	You
null	are
null	to
null	go
null	Thank
null	you
null	I
null	am
null	so
null	glad
null	was
null	Fannys
null	instinctive
null	reply
null	though
null	when
null	she
null	had
null	turned
null	from
null	him
null	and
null	shut
null	the
null	door
null	she
null	could
null	not
null	help
null	feeling
null	And
null	yet
null	why
null	should
null	I
null	be
null	glad
null	for
null	am
null	I
null	not
null	certain
null	of
null	seeing
null	or
null	hearing
null	something
null	there
null	to
pain	pain
beprcvuled	me
d	In
“	spite
wins	of
ma	this
onw	conviction
mayﬁmmmlmﬂélﬁdybeuthm’w	however
“	she
eqsthemmemyngdmnd	was
goodnevamnﬁrllowedher	glad
Edmundth	Simple
nberdoarinhiamytohiaown	as
“Well	such
Fannyﬁtia	an
all	engagement
hlppilyleuledund	might
without	appear
melmllwhuuﬁon	in
on	other
your	eyes
uncle’a	it
side	had
He	novelty
hid	and
one	importance
nion	in
Youuewgo	hers
kyomlamzoglad’	for
“Funnyinductive	excepting
yjtholghwhendnludmmedfromMmanddwt	the
dorm	day
could	at
not	Sotherton
hel	she
feeling“And	had
yet	scarcely
why	ever
lheghdiforun	dined
maminofueeingog	out
mlingtheleb‘ninme”	before
ofdiaeonvicuonhowevernhevughd	and
uhnmpguuncmi	though
ta	now
inodler	going
Mmhmmgmrum	only
Mumlhebduml	half
evadiud	a
Ind	mile
mgoin	and
only	only
smile	to
dme	three
millizwdiningommddl	people
m	still
were	it
enjoymeth	was
Shelpdnadm	dining
I	out
ea	and
E	all
Hum	the
F—éﬂhﬁ	little
E	interests
E	of
26	preparation
unusnaui	were
run	enjoyments
null	in
null	themselves
null	She
null	had
null	neither
null	sympathy
null	nor
null	assistance
from	from
thoee	those
who	who
ought	ought
to	to
have	have
entered	entered
into	into
her	her
feelings	feelings
mddiiectedher	and
lute	directed
forLad	her
Bennmneverthonght	taste
null	for
null	Lady
null	Bertram
null	never
null	thought
of	of
being	being
uleﬁtl	useful
to	to
anybody	anybody
an	and
Mn	Mrs
Norris	Norris
when	when
the	she
elm	came
on	on
the	the
monovv	morrow
in	in
contequence	consequence
of	of
In	an
early	early
cell	call
undiaviudonfmnSirThomagwuinaveryill	and
null	invitation
null	from
null	Sir
null	Thomas
null	was
null	in
null	a
null	very
null	ill
humour	humour
end	and
neemed	seemed
intent	intent
oul	only
on	on
lessening	lessening
her	her
nieoe’l	nieces
pleuuure	pleasure
both	both
pment	present
an	and
future	future
at	as
much	much
ll	as
pouible	possible
“	null
Upon	Upon
my	my
word	word
Fanny	Fanny
you	you
are	are
in	in
high	high
luck	luck
to	to
meet	meet
with	with
ruch	such
attention	attention
and	and
indulgence	indulgence
You	You
ought	ought
to	to
be	be
very	very
much	much
obliged	obliged
to	to
Mn	Mrs
Grant	Grant
for	for
thinking	thinking
of	of
end	you
null	and
to	to
your	your
sum	aunt
for	for
letting	letting
you	you
go	go
and	and
you	you
oug	ought
t	null
to	to
look	look
upon	upon
ital	it
Iomething	as
null	something
extraordinary	extraordinary
for	for
Ihopeyouaxeewarethatdmeiano	I
null	hope
null	you
null	are
null	aware
null	that
null	there
null	is
null	no
real	real
ooealon	occasion
for	for
your	your
going	going
into	into
company	company
in	in
thin	this
tort	sort
of	of
way	way
or	or
ever	ever
dining	dining
out	out
at	at
all	all
Ind	and
it	it
is	is
what	what
you	you
rnuat	must
not	not
depend	depend
upon	upon
ever	ever
being	being
repeated	repeated
Nor	Nor
mutt	must
you	you
he	be
ﬁncying	fancying
that	that
the	the
invitation	invitation
it	is
meant	meant
II	as
any	any
particular	particular
com	compliment
hment	null
to	to
jail	you
the	the
compliment	compliment
i	is
intended	intended
to	to
your	your
e	uncle
and	and
Iunt	aunt
and	and
me	me
Mn	Mrs
Grant	Grant
think	thinks
it	it
a	a
civility	civility
due	due
to	to
It	us
to	to
take	take
a	a
little	little
notice	notice
of	of
you	you
or	or
else	else
it	it
would	would
never	never
have	have
come	come
into	into
her	her
lid	head
and	and
on	you
may	may
be	be
very	very
certain	certain
that	that
if	if
your	your
main	cousin
Julia	Julia
had	had
null	been
at	at
home	home
you	you
would	would
not	not
have	have
been	been
asked	asked
at	at
all	all
Mn	Mrs
Norri	Norris
had	had
now	now
to	so
ingenioutly	ingeniously
done	done
away	away
all	all
Mn	Mrs
Gnnt’i	Grants
part	part
of	of
the	the
favour	favour
that	that
Fanny	Fanny
who	who
found	found
hemlf	herself
expected	expected
to	to
Ipeak	speak
could	could
only	only
ray	say
that	that
the	she
wan	was
null	very
much	much
obliged	obliged
to	to
her	her
aunt	aunt
Bertram	Bertram
for	for
